station_code,station_name,working_name,provisional_station,shelved_station,elevated_station,underground_station,transit_hub_station,interchange_stations,connecting_stations,connecting_rail_lines,connecting_bus_lines,feeder_bus,park_and_ride,malls,hypermarkets,tourist_attractions,hospitals,universities,colleges,government_agencies,cafes,parks,botanical_gardens,stadium
KG04,Kwasa Damansara,Kota Damansara,No,No,Yes,No,No,PY01 Kwasa Damansara [MRT Putrajaya Line],N/A,MRT Putrajaya Line,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Menara KWSP,N/A,N/A,N/A,N/A
KG05,Kwasa Sentral,Taman Industri Sungai Buloh,No,No,Yes,No,No,N/A,N/A,N/A,"T772, T801, T802, T803, T804",T804 feeder bus to KS03 Terminal Skypark [KTM KL Sentral-Terminal Skypark Line],Yes,N/A,N/A,N/A,N/A,N/A,N/A,Rubber Research Institute of Malaysia (RRIM) Research Station,N/A,N/A,N/A,N/A
KG05A,Teknologi,N/A,Yes,No,No,No,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG06,Kota Damansara-Thomson Hospital,PJU5,No,No,Yes,No,No,N/A,N/A,N/A,"T805, 780",N/A,No,N/A,N/A,N/A,Thomson Hospital,SEGi University,N/A,N/A,N/A,N/A,N/A,N/A
KG07,Surian,Dataran Sunway,No,No,Yes,No,No,N/A,N/A,N/A,"T807, T808, 780, 802",T807 feeder bus to KJ25 Lembah Subang [LRT Kelana Jaya Line],No,"Tropicana Gardens Mall, Sunway Giza Mall",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG08,Mutiara Damansara,The Curve,No,No,Yes,No,No,N/A,N/A,N/A,"T809, T810, PJ06, 780, 801, 802",N/A,No,"IPC Shopping Centre, IKEA Damansara",Lotus Mutiara Damansara,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG09,Bandar Utama,One Utama,No,No,Yes,No,No,(In Construction) SA01 Bandar Utama [LRT Shah Alam Line],N/A,(In Construction) LRT Shah Alam Line,"T811, T812, PJ05, PJ06, 780, 802",N/A,Yes,1 Utama Shopping Centre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG10,Taman Tun Dr Ismail - Deloitte (TTDI),TTDI,No,No,Yes,No,No,N/A,N/A,N/A,"T813, T814",N/A,No,Glo Damansara Shopping Mall,N/A,N/A,KPJ Damansara Specialist Hospital,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG11,Seksyen 17,N/A,No,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG12,Phileo Damansara,Seksyen 16,No,No,Yes,No,No,N/A,N/A,N/A,"T815, T816",T815 feeder bus to Universiti Malaya (UM),Yes,N/A,N/A,N/A,N/A,Universiti Malaya (UM),N/A,N/A,N/A,N/A,N/A,N/A
