station_code,station_name,working_name,provisional_station,shelved_station,park_and_ride,malls,tourist_attractions,hospitals,universities,government_agencies,cafes
KG04,Kwasa Damansara,Kota Damansara,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Menara KWSP,N/A
KG05,Kwasa Sentral,Taman Industri Sungai Buloh,N/A,N/A,Yes,N/A,N/A,N/A,N/A,Rubber Research Institute of Malaysia (RRIM) Research Station,N/A
KG05A,Teknologi,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG06,Kota Damansara-Thomson Hospital,PJU5,N/A,N/A,N/A,N/A,N/A,Thomson Hospital,SEGi University,N/A,N/A
KG07,Surian,Dataran Sunway,N/A,N/A,N/A,"Tropicana Gardens Mall, Sunway Giza Mall",N/A,N/A,N/A,N/A,N/A
KG08,Mutiara Damansara,The Curve,N/A,N/A,N/A,"IPC Shopping Centre, IKEA Damansara, Lotus Mutiara Damansara",N/A,N/A,N/A,N/A,N/A
KG09,Bandar Utama,One Utama,N/A,N/A,Yes,1 Utama Shopping Centre,N/A,N/A,N/A,N/A,N/A
KG10,Taman Tun Dr Ismail - Deloitte (TTDI),TTDI,N/A,N/A,N/A,Glo Damansara Shopping Mall,N/A,KPJ Damansara Specialist Hospital,N/A,N/A,N/A
KG11,Seksyen 17,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG12,Phileo Damansara,Seksyen 16,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG12A,Bukit Kiara Selatan,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG13,Pavilion Damansara Heights - Pusat Bandar Damansara,"Pusat Bandar Damansara, Damansara City Mall (DC Mall)",N/A,N/A,Yes,Pavilion Damansara Heights Mall,N/A,N/A,N/A,N/A,N/A
KG14,Semantan,Semantan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG15,Muzium Negara,KL Sentral,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG16,Pasar Seni,Pasar Seni,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG17,Merdeka,Merdeka,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG18A,Pavilion Kuala Lumpur - Bukit Bintang,Bukit Bintang Sentral,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG20,Tun Razak Exchange - Samsung Galaxy (TRX),Pasar Rakyat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG21,Cochrane,Cochrane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG22,AEON - Maluri,Maluri,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG23,Taman Pertama,Taman Bukit Ria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG24,Taman Midah,Taman Bukit Mewah,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG25,Taman Mutiara,Leisure Mall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG26,Taman Connaught,Plaza Phoenix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG27,Taman Suntex,Taman Suntex,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG28,Sri Raya,Taman Cuepacs,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG29,Bandar Tun Hussein Onn,Bandar Tun Hussein Onn,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG30,Batu 11 Cheras,Balakong,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG31,Bukit Dukung,Taman Koperasi,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG32,Taman Mesra,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG33,Sungai Jernih,Saujana Impian,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
KG34,Stadium Kajang,Bandar Kajang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KG35,Kajang,Kajang,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
